Context,Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Answer Key
"لا يجوز الجمع بين وظيفة القضاء ومزاولة التجارة، أو أي وظيفة أو عمل لا يتفق مع استقلال القضاء وكرامته. ويجوز للمجلس الأعلى للقضاء أن يقرر منع القاضي من مباشرة أي عمل يرى أن القيام به يتعارض مع واجبات الوظيفة وحسن أدائها.",من له الحق في منع القاضي من مباشرة أي عمل يتعارض مع واجبات الوظيفة وحسن أدائها:,المجلس الأعلى للقضاء,الجمعية العامة للقضاة,المجلس الأعلى للقضاء,رئيس المحكمة العليا,وزير العدل,1
"يثبت حسن السيرة والسلوك لمن حكم عليه بحد، أو بعقوبة في جريمة مخلة بالشرف أو الأمانة متى صدر قرار برد اعتباره من الجهة المختصة.","متى يثبت حسن السيرة والسلوك لمن حكم عليه بحد، أو بعقوبة في جريمة مخلة بالشرف أو الأمانة؟",متى صدر قرار برد اعتباره من الجهة المختصة,بعد مرور 10 سنوات على تنفيذ العقوبة,لا يمكن إثبات حسن السيرة والسلوك لمن حكم عليه بحد أو عقوبة في جريمة مخلة بالشرف أو الأمانة,متى صدر قرار برد اعتباره من الجهة المختصة,بعد مرور 5 سنوات على تنفيذ العقوبة,2
"يثبت حسن السيرة والسلوك لمن حكم عليه بحد، أو بعقوبة في جريمة مخلة بالشرف أو الأمانة متى صدر قرار برد اعتباره من الجهة المختصة.","ما هي الجهة المختصة بإصدار قرار رد الاعتبار لمن حكم عليه بحد، أو بعقوبة في جريمة مخلة بالشرف أو الأمانة؟",لم يتم تحديد الجهة المختصة في المعلومات المقدمة,لجنة العفو الملكي,لم يتم تحديد الجهة المختصة في المعلومات المقدمة,المحكمة التي أصدرت الحكم,وزارة العدل,1
"1- ترث الأخت الشقيقة (النصف) إن كانت واحدة، و(الثلثين) إن كانتا اثنتين -فأكثر- إذا توافرت الشروط الآتية:  أ- ألا يكون للميت أصل وارث ذكر.  ب- ألا يكون للميت فرع وارث.  ج- ألا يكون للميت أخ شقيق.  2- ترث الأخت الشقيقة إذا كانت واحدة -فأكثر- الباقي مع الأخ الشقيق تعصيباً بالغير للذكر مثل حظ الأنثيين، إذا توافر الشرطان الآتيان:  أ- ألا يكون للميت أصل وارث ذكر.  ب- ألا يكون للميت فرع وارث ذكر.  3- تنفرد الأخت الشقيقة إذا كانت واحدة -فأكثر- بالباقي تعصيباً مع الغير إذا توافرت الشروط الآتية:  أ- ألا يكون للميت أصل وارث ذكر.  ب- ألا يكون للميت فرع وارث ذكر.  ج- ألا يكون للميت أخ شقيق.  د- أن يكون للميت فرع وارث أنثى.","متى ترث الأخت الشقيقة النصف إذا كانت واحدة، والثلثين إذا كانتا اثنتين فأكثر؟","إذا لم يكن للميت أصل وارث ذكر، ولا فرع وارث، ولا أخ شقيق","إذا كان للميت أصل وارث ذكر، ولا فرع وارث، ولا أخ شقيق","إذا لم يكن للميت أصل وارث ذكر، ولا فرع وارث ذكر، ولا أخ شقيق","إذا لم يكن للميت أصل وارث ذكر، ولا فرع وارث، وله أخ شقيق","إذا لم يكن للميت أصل وارث ذكر، ولا فرع وارث، ولا أخ شقيق",3
"إشارة إلى توصيات ملتقى رؤساء المحاكم الجزائية المنبثقة من الاجتماع المنعقد في مدينة حائل يوم الإربعاء الموافق 16/6/1438هـ وما تضمنته التوصية العاشرة ونصها [فرز معاملة الحدث الموقوف إذا ارتبطت بقضية سجين واختلف مكان إقامة الحدث عن مكان إقامة السجين حتى لا يتم صرف النظر لعدم الاختصاص، ولئلا تتعطل تلك القضايا بسبب الارتباط]. ولموافقة معالي الوزير على هذه التوصية؛ نرغب إليكم الاطلاع واعتماد العمل بموجبها.والله يحفظكم. / ك",تم اعتماد العمل بتوصية فرز معاملة الحدث الموقوف إذا ارتبطت بقضية سجين واختلف مكان إقامة الحدث عن مكان إقامة السجين من أجل:,عدم صرف النظر لعدم الاختصاص وعدم تعطل تلك القضايا بسبب الارتباط,تمكين السجين من حضور جلسات محاكمة الحدث,تسهيل نقل الأحداث الموقوفين بين المحاكم,تسريع البت في قضايا الأحداث الموقوفين,عدم صرف النظر لعدم الاختصاص وعدم تعطل تلك القضايا بسبب الارتباط,3
"إشارة إلى توصيات ملتقى رؤساء المحاكم الجزائية المنبثقة من الاجتماع المنعقد في مدينة حائل يوم الإربعاء الموافق 16/6/1438هـ وما تضمنته التوصية العاشرة ونصها [فرز معاملة الحدث الموقوف إذا ارتبطت بقضية سجين واختلف مكان إقامة الحدث عن مكان إقامة السجين حتى لا يتم صرف النظر لعدم الاختصاص، ولئلا تتعطل تلك القضايا بسبب الارتباط]. ولموافقة معالي الوزير على هذه التوصية؛ نرغب إليكم الاطلاع واعتماد العمل بموجبها.والله يحفظكم. / ك",صدرت توصية فرز معاملة الحدث الموقوف إذا ارتبطت بقضية سجين واختلف مكان إقامة الحدث عن مكان إقامة السجين عن:,ملتقى رؤساء المحاكم الجزائية المنعقد في مدينة حائل,اجتماع وزارة العدل السنوي في الرياض,ملتقى رؤساء المحاكم الجزائية المنعقد في مدينة حائل,ندوة تطوير العدالة الجنائية لل,مؤتمر قضاة الأحداث على مستوى المملكة,1
"لا يجوز تفتيش غير المتهم أو مسكن غير مسكنه، إلا إذا اتضح من أمارات قوية أن هذا التفتيش سيفيد في التحقيق.",يجوز تفتيش غير المتهم أو مسكن غير مسكنه إذا:,اتضح من أمارات قوية أن هذا التفتيش سيفيد في التحقيق,وافق مالك المسكن على التفتيش,كان المسكن قريبا من مسرح الجريمة,اتضح من أمارات قوية أن هذا التفتيش سيفيد في التحقيق,طلب المتهم ذلك,2
"لا يجوز تفتيش غير المتهم أو مسكن غير مسكنه، إلا إذا اتضح من أمارات قوية أن هذا التفتيش سيفيد في التحقيق.",لا يمكن تفتيش مسكن شخص غير متهم إلا إذا:,ظهرت دلائل قوية على أن التفتيش سيساعد في التحقيق,وافقت الشرطة على إجراء التفتيش,كان المسكن في نفس الحي الذي يسكن فيه المتهم,طلب أحد الجيران إجراء التفتيش,ظهرت دلائل قوية على أن التفتيش سيساعد في التحقيق,3
يجوز أن يضاف إلى الطلب الأصلي الأجور وما يزيد من التعويضات التي تستحق بعد تقديم الطلبات الختامية أمام محكمة الدرجة الأولى.,يجوز أن يضاف إلى الطلب الأصلي:,الأجور وما يزيد من التعويضات التي تستحق بعد تقديم الطلبات الختامية أمام محكمة الدرجة الأولى,الأجور وما يزيد من التعويضات التي تستحق بعد تقديم الطلبات الختامية أمام محكمة الدرجة الأولى,الأجور وما يزيد من التعويضات التي تستحق قبل تقديم الطلبات الختامية أمام محكمة الدرجة الأولى,الأجور وما يزيد من التعويضات التي تستحق بعد تقديم الطلبات الختامية أمام محكمة الاستئناف,الأجور وما يزيد من التعويضات التي تستحق قبل تقديم الطلبات الختامية أمام محكمة الاستئناف,0
"تسري على الإبراء الأحكام الموضوعية للتبرعات، ولا يُشترط فيه شكل خاص.",تسري على الإبراء الأحكام الموضوعية ل:,التبرعات,الالتزامات,الوصايا,العقود,التبرعات,3
"تسري على الإبراء الأحكام الموضوعية للتبرعات، ولا يُشترط فيه شكل خاص.",لا يُشترط في الإبراء:,شكل خاص,موافقة الدائن,حضور شهود,توثيق رسمي,شكل خاص,3
"يقصد بالمصطلحات والعبارات الآتية - أينما وردت في هذه اللائحة - المعاني المبينة أمامها، ما لم يقتض السياق خلاف ذلك :  النظام: نظام الإجراءات الجزائية.  اللائحة: اللائحة التنفيذية للنظام.  المجلس: المجلس الأعلى للقضاء.  الوزارة: وزارة العدل.  النيابة: النيابة العامة.  الجرائم الكبيرة: الجرائم الموجبة للتوقيف بموجب المادة (الثانية عشرة بعد المائة) من النظام.",ما هو المقصود بالنظام في هذه اللائحة؟,نظام الإجراءات الجزائية,نظام المحاماة,نظام القضاء,نظام المرافعات الشرعية,نظام الإجراءات الجزائية,3
"يقصد بالمصطلحات والعبارات الآتية - أينما وردت في هذه اللائحة - المعاني المبينة أمامها، ما لم يقتض السياق خلاف ذلك :  النظام: نظام الإجراءات الجزائية.  اللائحة: اللائحة التنفيذية للنظام.  المجلس: المجلس الأعلى للقضاء.  الوزارة: وزارة العدل.  النيابة: النيابة العامة.  الجرائم الكبيرة: الجرائم الموجبة للتوقيف بموجب المادة (الثانية عشرة بعد المائة) من النظام.",ما هي الجهة المسؤولة عن إصدار هذه اللائحة التنفيذية؟,وزارة العدل,وزارة العدل,المجلس الأعلى للقضاء,وزارة الداخلية,النيابة العامة,0
"يكون الضبط في الصحيفة المٌعدة له، ويوقعه كاتب الضبط، ومن ذكرت أسماؤهم فيه، ويعتمد بتوقيعه من جميع قضاة الدائرة الذين اشتركوا في الجلسة.",من يوقع على محضر الجلسة بالإضافة إلى كاتب الضبط؟,جميع قضاة الدائرة الذين اشتركوا في الجلسة,الأطراف المذكورة أسماؤهم في المحضر,جميع قضاة الدائرة الذين اشتركوا في الجلسة,النيابة العامة,رئيس الجلسة فقط,1
"يكون الضبط في الصحيفة المٌعدة له، ويوقعه كاتب الضبط، ومن ذكرت أسماؤهم فيه، ويعتمد بتوقيعه من جميع قضاة الدائرة الذين اشتركوا في الجلسة.",أين يتم تدوين محضر الجلسة؟,في الصحيفة المٌعدة له,في ملف القضية,في محضر منفصل يرفق لاحقاً بالملف,في سجل خاص بكاتب الضبط,في الصحيفة المٌعدة له,3
"تبلغ الجهات القضائية، والجهة المهنية المرخصة للخبير بنسخة من القرار النهائي بالعقوبة.",من هي الجهات التي يجب تبليغها بنسخة من القرار النهائي بالعقوبة؟,الجهات القضائية والجهة المهنية المرخصة للخبير,لا يتم تبليغ أي جهة,الجهة المهنية المرخصة للخبير فقط,الجهات القضائية والجهة المهنية المرخصة للخبير,الجهات القضائية فقط,2
"تبلغ الجهات القضائية، والجهة المهنية المرخصة للخبير بنسخة من القرار النهائي بالعقوبة.",ما هو نوع القرار الذي يتم تبليغه للجهات القضائية والجهة المهنية المرخصة للخبير؟,القرار النهائي بالعقوبة,القرار الابتدائي بالبراءة,القرار الابتدائي بالعقوبة,القرار النهائي بالعقوبة,القرار النهائي بالبراءة,2
تسري على من يستأنس برأيه الالتزامات الواردة في المادة الثامنة والأربعين بعد المائة والمادة التاسعة والأربعين بعد المائة من اللائحة.,تسري على من يستأنس برأيه الالتزامات الواردة في:,المادة الثامنة والأربعين بعد المائة والمادة التاسعة والأربعين بعد المائة من اللائحة,المادة الأربعين والمادة الحادية والأربعين من اللائحة,المادة الخمسين بعد المائة والمادة الحادية والخمسين بعد المائة من اللائحة,المادة السبعين والمادة الحادية والسبعين من اللائحة,المادة الثامنة والأربعين بعد المائة والمادة التاسعة والأربعين بعد المائة من اللائحة,3
تسري على من يستأنس برأيه الالتزامات الواردة في المادة الثامنة والأربعين بعد المائة والمادة التاسعة والأربعين بعد المائة من اللائحة.,من تسري عليه الالتزامات الواردة في المادة الثامنة والأربعين بعد المائة والمادة التاسعة والأربعين بعد المائة من اللائحة؟,من يستأنس برأيه,من يستأنس برأيه,من يقدم الاستشارات القانونية,من يمثل أمام المحكمة,من يتولى الدفاع عن المتهم,0
"لا يساءل جزائيًّا من لم يتم (السابعة) من عمره، وقت ارتكاب الفعل المعاقب عليه.","وفقًا للمادة أعلاه، لا يُسأل جزائيًا من لم يتم:",السابعة من عمره وقت ارتكاب الفعل المعاقب عليه,الثامنة من عمره وقت ارتكاب الفعل المعاقب عليه,العاشرة من عمره وقت ارتكاب الفعل المعاقب عليه,السابعة من عمره وقت ارتكاب الفعل المعاقب عليه,التاسعة من عمره وقت ارتكاب الفعل المعاقب عليه,2
"لا يساءل جزائيًّا من لم يتم (السابعة) من عمره، وقت ارتكاب الفعل المعاقب عليه.","بناءً على المادة المذكورة، يُعفى من المسؤولية الجزائية من لم يبلغ السابعة من عمره:",وقت ارتكاب الفعل المجرَّم,وقت صدور الحكم عن الفعل المجرَّم,وقت المحاكمة عن الفعل المجرَّم,وقت ارتكاب الفعل المجرَّم,في أي وقت قبل بلوغه سن الرشد,2
"يكون الدين مشتركاً بين عدة دائنين إذا اتحد سببه، ويعد ديناً مشتركاً الدينُ الذي آل بالإرث إلى أكثر من وارث.",يعتبر الدين مشتركا بين عدة دائنين في الحالة التالية:,إذا اتحد سبب الدين,إذا كان الدائنون أقارب من نفس العائلة,إذا اتحد سبب الدين,إذا كان مبلغ الدين كبيرا,إذا كان الدين ناتجا عن عقد واحد,1
"يكون الدين مشتركاً بين عدة دائنين إذا اتحد سببه، ويعد ديناً مشتركاً الدينُ الذي آل بالإرث إلى أكثر من وارث.",من الأمثلة على الدين المشترك حسب النص:,الدين الذي آل بالإرث إلى أكثر من وارث,الدين الذي آل بالإرث إلى أكثر من وارث,الدين الناتج عن شراكة تجارية بين عدة أشخاص,الدين المترتب على عدة أشخاص بسبب جريمة ارتكبوها معا,الدين الذي اقترضه عدة أشخاص من نفس البنك,0
"في الأحوال التي يتطلب فيها نظر الدعوى الإحالة للخبرة، فيحدد ميعاد إيداع تقرير الخبرة بما لا يتجاوز عشرين يوماً، ويجوز تمديدها مدة عشرة أيام أخرى - عند الاقتضاء -.","في الأحوال التي يتطلب فيها نظر الدعوى الإحالة للخبرة، فإن الميعاد المحدد لإيداع تقرير الخبرة هو:",بما لا يتجاوز عشرين يوماً,بما لا يتجاوز خمسة عشر يوماً,بما لا يتجاوز شهراً,بما لا يتجاوز أسبوعين,بما لا يتجاوز عشرين يوماً,3
"في الأحوال التي يتطلب فيها نظر الدعوى الإحالة للخبرة، فيحدد ميعاد إيداع تقرير الخبرة بما لا يتجاوز عشرين يوماً، ويجوز تمديدها مدة عشرة أيام أخرى - عند الاقتضاء -.","في حالة الاقتضاء، يمكن تمديد ميعاد إيداع تقرير الخبرة لمدة:",عشرة أيام أخرى,خمسة أيام أخرى,شهر آخر,خمسة عشر يوماً أخرى,عشرة أيام أخرى,3
"للدائرة -عند الاقتضاء- أن تضمن أمرها بإحضار المدعى عليه جبرا توقيفه المدة اللازمة التي يتمكن خلالها من إحضاره على أن لا تتجاوز خمسة أيام، وفي حال انقضاء المدة دون إحضاره للمحكمة تقوم الجهة المختصة بالكتابة بشكل عاجل إلى الدائرة -أو من يقوم مقامها- للتوجيه بشأنه.",للدائرة أن تضمن أمرها بإحضار المدعى عليه جبرا توقيفه لمدة:,لا تتجاوز خمسة أيام,لا تتجاوز عشرة أيام,لا تتجاوز سبعة أيام,لا تتجاوز ثلاثة أيام,لا تتجاوز خمسة أيام,3
"للدائرة -عند الاقتضاء- أن تضمن أمرها بإحضار المدعى عليه جبرا توقيفه المدة اللازمة التي يتمكن خلالها من إحضاره على أن لا تتجاوز خمسة أيام، وفي حال انقضاء المدة دون إحضاره للمحكمة تقوم الجهة المختصة بالكتابة بشكل عاجل إلى الدائرة -أو من يقوم مقامها- للتوجيه بشأنه.","في حال انقضاء المدة المحددة في أمر الإحضار الجبري دون إحضار المدعى عليه للمحكمة، فإن الجهة المختصة:",تقوم بالكتابة بشكل عاجل إلى الدائرة للتوجيه بشأنه,تقوم بتمديد مدة التوقيف تلقائيا,تقوم بإطلاق سراح المدعى عليه فورا,لا تتخذ أي إجراء إضافي,تقوم بالكتابة بشكل عاجل إلى الدائرة للتوجيه بشأنه,3
(إلحاقاً لتعميم الوزارة رقم 8/ت/144 في 11/4/1414هـ المبني على قرار مجلس القضاء الأعلى بهيئته العامة رقم 185/40 وتاريخ 20/3/1414هـ المتضمن بأن تنظر قضايا السجناء في البلد الذي يكون السجين مسجوناً فيه وقت المحاكمة بصرف النظر عن محل إقامته الأصلية أو المكان الذي وقع فيه الحادث ... الخ . وعليه فقد تلقينا خطاب معالي رئيس مجلس القضاء الأعـلى رقـــم 1/895 في 26/4/1419هـ ومشفوعه قرار مجلس القضاء الأعلى بهيئته العامة رقم 151/47 وتاريخ 20/4/1419هـ المتضمن استمرار العمل بما جاء في تعميم سماحة رئيس القضاة – رحمه الله – رقم 36/3/ب وتاريخ 20/3/1389 بأن تنظر قضية السجين في البلد الذى سجن فيه بصرف النظر عن المكان الذي وقعت فيه الحادثة ويعتبر هذا القرار ملغياً لما جاء في قرار مجلس القضاء الأعلى بهيئته العامة رقم 185/40 في 20/3/1414هـ . لذا نرغب الاطلاع واعتماد العمل بموجبه )والله يحفظكم/و.,"وفقاً للتعميم، تنظر قضية السجين في:",البلد الذي سجن فيه,البلد الذي يقيم فيه السجين,البلد الذي يختاره السجين,البلد الذي وقعت فيه الحادثة,البلد الذي سجن فيه,3
(إلحاقاً لتعميم الوزارة رقم 8/ت/144 في 11/4/1414هـ المبني على قرار مجلس القضاء الأعلى بهيئته العامة رقم 185/40 وتاريخ 20/3/1414هـ المتضمن بأن تنظر قضايا السجناء في البلد الذي يكون السجين مسجوناً فيه وقت المحاكمة بصرف النظر عن محل إقامته الأصلية أو المكان الذي وقع فيه الحادث ... الخ . وعليه فقد تلقينا خطاب معالي رئيس مجلس القضاء الأعـلى رقـــم 1/895 في 26/4/1419هـ ومشفوعه قرار مجلس القضاء الأعلى بهيئته العامة رقم 151/47 وتاريخ 20/4/1419هـ المتضمن استمرار العمل بما جاء في تعميم سماحة رئيس القضاة – رحمه الله – رقم 36/3/ب وتاريخ 20/3/1389 بأن تنظر قضية السجين في البلد الذى سجن فيه بصرف النظر عن المكان الذي وقعت فيه الحادثة ويعتبر هذا القرار ملغياً لما جاء في قرار مجلس القضاء الأعلى بهيئته العامة رقم 185/40 في 20/3/1414هـ . لذا نرغب الاطلاع واعتماد العمل بموجبه )والله يحفظكم/و.,قرار مجلس القضاء الأعلى رقم 151/47 وتاريخ 20/4/1419هـ:,يلغي قرار مجلس القضاء الأعلى السابق رقم 185/40 في 20/3/1414هـ,لا علاقة له بقرار مجلس القضاء الأعلى السابق رقم 185/40 في 20/3/1414هـ,يؤكد على قرار مجلس القضاء الأعلى السابق رقم 185/40 في 20/3/1414هـ,يعدل قرار مجلس القضاء الأعلى السابق رقم 185/40 في 20/3/1414هـ,يلغي قرار مجلس القضاء الأعلى السابق رقم 185/40 في 20/3/1414هـ,3
إذا امتنع أحد الخصوم عن التوقيع فيثبت ذلك في ذات محضر الضبط.,إذا امتنع أحد الخصوم عن التوقيع على محضر الضبط:,يثبت ذلك في ذات محضر الضبط,يتم تأجيل الجلسة,يعتبر المحضر لاغيا,لا يترتب على ذلك أي أثر,يثبت ذلك في ذات محضر الضبط,3
إذا امتنع أحد الخصوم عن التوقيع فيثبت ذلك في ذات محضر الضبط.,"عند امتناع أحد الخصوم عن التوقيع على محضر الضبط، فإن كاتب الضبط:",يثبت واقعة الامتناع في نفس المحضر,يثبت واقعة الامتناع في نفس المحضر,يهمل واقعة الامتناع ولا يثبتها,يطلب من القاضي إجبار الخصم على التوقيع,يحرر محضرا منفصلا بواقعة الامتناع,0
"للخصم الاعتراض على سؤال وجِّه إليه، وعليه أن يبين وجه اعتراضه.  على المحكمة منع كل سؤال غير متعلق بالدعوى أو غير منتج فيها أو غير جائز قبوله.",للخصم الحق في:,الاعتراض على سؤال وجه إليه مع بيان وجه اعتراضه,الاعتراض على سؤال وجه إليه دون بيان وجه اعتراضه,الاعتراض على سؤال وجه إليه مع بيان وجه اعتراضه,الاعتراض على سؤال وجه إليه ولو كان السؤال متعلقا بالدعوى ومنتجا فيها,عدم الاعتراض على أي سؤال وجه إليه,1
"للخصم الاعتراض على سؤال وجِّه إليه، وعليه أن يبين وجه اعتراضه.  على المحكمة منع كل سؤال غير متعلق بالدعوى أو غير منتج فيها أو غير جائز قبوله.",على المحكمة:,منع كل سؤال غير متعلق بالدعوى أو غير منتج فيها أو غير جائز قبوله,السماح بالأسئلة غير الجائز قبولها,منع كل سؤال غير متعلق بالدعوى أو غير منتج فيها أو غير جائز قبوله,منع الأسئلة المتعلقة بالدعوى والمنتجة فيها,السماح بكل سؤال حتى لو كان غير متعلق بالدعوى أو غير منتج فيها,1
"إذا كان من تسلَّم غير المستحق حسن النيَّة فلا يُلزم بأن يرد إلا ما تسلَّم، وإذا كان سيئ النيَّة فإنه يُلزم بردِّ ما تسلَّم وثماره التي قبضها والتي قصَّر في قبضها، وذلك من اليوم الذي أصبح فيه سيئ النيَّة.","إذا كان من تسلم غير المستحق حسن النية، فإنه:",لا يلزم إلا برد ما تسلم فقط,يلزم برد ما تسلم وثماره التي قبضها والتي قصر في قبضها,يلزم برد ما تسلم والثمار التي قصر في قبضها,لا يلزم إلا برد ما تسلم فقط,يلزم برد ما تسلم وثماره التي قبضها,2
"إذا كان من تسلَّم غير المستحق حسن النيَّة فلا يُلزم بأن يرد إلا ما تسلَّم، وإذا كان سيئ النيَّة فإنه يُلزم بردِّ ما تسلَّم وثماره التي قبضها والتي قصَّر في قبضها، وذلك من اليوم الذي أصبح فيه سيئ النيَّة.",متى يلزم من تسلم غير المستحق برد الثمار التي قبضها والتي قصر في قبضها؟,إذا كان سيئ النية,إذا كان حسن النية,في جميع الأحوال سواء كان حسن أو سيئ النية,إذا كان سيئ النية,لا يلزم برد الثمار مطلقا,2
"يشترط في الوكيل، المشار إليه في الفقرة ( أ ) من هذه المادة: أن يكون سعودي الجنسية، وألا يكون موظفا في الدولة.",ما هي الشروط الواجب توفرها في الوكيل المشار إليه في الفقرة (أ) من هذه المادة؟,"أن يكون سعودي الجنسية، وألا يكون موظفا في الدولة","أن يكون حاصلا على شهادة جامعية، وأن يكون لديه خبرة لا تقل عن 5 سنوات","أن يكون متزوجا، وأن يكون عمره أكثر من 30 سنة","أن يكون سعودي الجنسية، وألا يكون موظفا في الدولة","أن يكون حسن السيرة والسلوك، وأن يكون لديه مكتب خاص",2
"يشترط في الوكيل، المشار إليه في الفقرة ( أ ) من هذه المادة: أن يكون سعودي الجنسية، وألا يكون موظفا في الدولة.",ما هي الجنسية المطلوبة في الوكيل المشار إليه في الفقرة (أ) من هذه المادة؟,سعودي الجنسية,سعودي الجنسية,الجنسية غير مهمة,أي جنسية خليجية,أي جنسية عربية,0
"في الأحوال التي يُبرئ فيها الدائن أحد المدينين المتضامنين سواءً من الدين أو من التضامن، يكون لباقي المدينين عند الاقتضاء أن يرجعوا على هذا المدين بنصيبه في حصة المعسر منهم، إلا أنه إذا أخلى الدائن المدين الذي أبرأه من كل مسؤولية عن الدين، فإن الدائن هو الذي يتحمل نصيب هذا المدين في حصة المعسر.","في حالة إبراء الدائن لأحد المدينين المتضامنين من الدين أو التضامن، فإن لباقي المدينين الحق في الرجوع على هذا المدين بـ:",نصيبه في حصة المعسر منهم,نصف حصة المعسر منهم,كامل حصة المعسر منهم,نصيبه في حصة المعسر منهم,لا يحق لهم الرجوع عليه بأي مبلغ,2
"في الأحوال التي يُبرئ فيها الدائن أحد المدينين المتضامنين سواءً من الدين أو من التضامن، يكون لباقي المدينين عند الاقتضاء أن يرجعوا على هذا المدين بنصيبه في حصة المعسر منهم، إلا أنه إذا أخلى الدائن المدين الذي أبرأه من كل مسؤولية عن الدين، فإن الدائن هو الذي يتحمل نصيب هذا المدين في حصة المعسر.","إذا أخلى الدائن المدين الذي أبرأه من كل مسؤولية عن الدين، فمن يتحمل نصيب هذا المدين في حصة المعسر؟",الدائن هو الذي يتحمل نصيب هذا المدين في حصة المعسر,باقي المدينين المتضامنين,الدائن هو الذي يتحمل نصيب هذا المدين في حصة المعسر,لا يتحمل أحد نصيب المدين المبرأ في حصة المعسر,يتم تقسيم نصيب المدين المبرأ بين الدائن وباقي المدينين,1
"متى طلب الدائن عدم تنفيذ مقتضى الفقرات (1-2-3-4) والفقرات ( أ – ب – ج – د )، أو بعضها؛ فيجيبه قاضي التنفيذ، بعد أخذ إقرار عليه بذلك.","متى يجيب قاضي التنفيذ الدائن بعدم تنفيذ مقتضى الفقرات (1-2-3-4) والفقرات ( أ – ب – ج – د )، أو بعضها؟",بعد أخذ إقرار عليه بذلك,بعد صدور حكم قضائي بعدم التنفيذ,بعد أخذ إقرار عليه بذلك,بعد تقديم طلب كتابي من الدائن,بعد موافقة المدين على عدم التنفيذ,1
"متى طلب الدائن عدم تنفيذ مقتضى الفقرات (1-2-3-4) والفقرات ( أ – ب – ج – د )، أو بعضها؛ فيجيبه قاضي التنفيذ، بعد أخذ إقرار عليه بذلك.",ما هي الإجراءات التي يتخذها قاضي التنفيذ عندما يطلب الدائن عدم تنفيذ بعض الفقرات المذكورة في النص؟,يأخذ إقرارًا من الدائن بذلك ثم يجيبه بعدم التنفيذ,يرفض طلب الدائن مباشرة دون اتخاذ أي إجراء,يحيل الطلب إلى محكمة الاستئناف للبت فيه,يستدعي المدين للاستماع إلى رأيه قبل اتخاذ القرار,يأخذ إقرارًا من الدائن بذلك ثم يجيبه بعدم التنفيذ,3
"لا يحق للوكيل المنصوص عليه في الفقرة ( أ ) من هذه المادة مباشرة أكثر من ثلاث قضايا، في أي جهة من الجهات في فترة زمنية واحدة، وعليه أن يشير إلى عدد القضايا التي هو وكيل فيها حاليا، وإلى جهات نظرها عند التقدم بالدعوى بكتابة إقرار موقع منه بذلك. ويعتبر انتهاء القضية الواحدة بانتهاء الترافع فيها بحكم مكتسب للقطعية.",يحق للوكيل المنصوص عليه في الفقرة (أ) مباشرة:,ثلاث قضايا كحد أقصى في أي جهة من الجهات في فترة زمنية واحدة,خمس قضايا كحد أقصى في أي جهة من الجهات في فترة زمنية واحدة,عشر قضايا كحد أقصى في أي جهة من الجهات في فترة زمنية واحدة,لا يوجد حد أقصى لعدد القضايا التي يمكن للوكيل مباشرتها,ثلاث قضايا كحد أقصى في أي جهة من الجهات في فترة زمنية واحدة,3
"إذا ترتب على الطلب تغير في تقدير قيمة الدعوى سواء بالزيادة أو النقص، فتُحسب التكاليف القضائية للدعوى بناء على تقدير القيمة الجديدة لها، وذلك مع عدم الإخلال بالتكاليف القضائية المحددة للطلب ذاته.","إذا ترتب على الطلب تغير في تقدير قيمة الدعوى سواء بالزيادة أو النقص، فإن التكاليف القضائية للدعوى تُحسب بناء على:",تقدير القيمة الجديدة للدعوى,تقدير القيمة الجديدة للدعوى,متوسط القيمة الأصلية والجديدة للدعوى,تقدير القيمة الأصلية للدعوى,لا تتغير التكاليف القضائية للدعوى,0
"إذا ترتب على الطلب تغير في تقدير قيمة الدعوى سواء بالزيادة أو النقص، فتُحسب التكاليف القضائية للدعوى بناء على تقدير القيمة الجديدة لها، وذلك مع عدم الإخلال بالتكاليف القضائية المحددة للطلب ذاته.","عند تغير تقدير قيمة الدعوى بسبب الطلب المقدم، فإن ذلك:",لا يؤثر على التكاليف القضائية المحددة للطلب ذاته,يؤدي إلى إلغاء التكاليف القضائية المحددة للطلب ذاته,يؤدي إلى نقص التكاليف القضائية المحددة للطلب ذاته,يؤدي إلى زيادة التكاليف القضائية المحددة للطلب ذاته,لا يؤثر على التكاليف القضائية المحددة للطلب ذاته,3
